,Sample ID,Date MM/DD/YY,Lake Name,Layer ,batch #		
IHXI,TB28May07H,2007-05-28,Trout Bog,Hypolimnion,1
IHWF,TB7Jun07H,2007-06-07,Trout Bog,Hypolimnion,1
IHUS,TB13Jun07H,2007-06-13,Trout Bog,Hypolimnion,1
IHWI,TB27Jun07H,2007-06-27,Trout Bog,Hypolimnion,1
IHWN,TB02July07H,2007-07-02,Trout Bog,Hypolimnion,1
IHWG,TB10July07H,2007-07-12,Trout Bog,Hypolimnion,1
IHWH,TB25July07H,2007-07-25,Trout Bog,Hypolimnion,1
IHUZ,TB31July07H,2007-07-31,Trout Bog,Hypolimnion,1
IHSA,TB09Aug07H,2007-08-09,Trout Bog,Hypolimnion,1
IHWA,TB20Aug07H,2007-08-20,Trout Bog,Hypolimnion,1
IHWY,TB27Aug07H,2007-08-27,Trout Bog,Hypolimnion,1
IHWB,TB10Sept07H,2007-09-10,Trout Bog,Hypolimnion,1
IHWU,TB17Sept07H,2007-09-17,Trout Bog,Hypolimnion,1
IHXG,TB01Oct07H,2007-10-01,Trout Bog,Hypolimnion,1
IHXO,TB16Oct07H,2007-10-16,Trout Bog,Hypolimnion,1
IHXN,TB05Nov07H,2007-11-05,Trout Bog,Hypolimnion,1
IHXW,TB14Nov07H,2007-11-14,Trout Bog,Hypolimnion,1
IHPY,TB22May08H,2008-05-22,Trout Bog,Hypolimnion,1
IHSB,TB29May08H,2008-05-29,Trout Bog,Hypolimnion,1
IHWS,TB13June08H,2008-06-13,Trout Bog,Hypolimnion,1
failed?,TB24June08H,2008-06-24,Trout Bog,Hypolimnion,1
IHWX,TB1July08H,2008-07-01,Trout Bog,Hypolimnion,1
IHWW,TB8July08H,2008-07-08,Trout Bog,Hypolimnion,1
IHXP,TB15July08H,2008-07-15,Trout Bog,Hypolimnion,1
IHXT,TB22July08H,2008-07-22,Trout Bog,Hypolimnion,1
IHXH,TB29July08H,2008-07-29,Trout Bog,Hypolimnion,1
IHXA,TB05Aug08H,2008-08-05,Trout Bog,Hypolimnion,1
IHXF,TB12Aug08H,2008-08-12,Trout Bog,Hypolimnion,1
IHXU,TB19Aug08H,2008-08-19,Trout Bog,Hypolimnion,1
IHXS,TB25Aug08H,2008-08-25,Trout Bog,Hypolimnion,1
IHXX,TB09Sept08H,2008-09-09,Trout Bog,Hypolimnion,1
IHPO,TB20Sept08H,2008-09-20,Trout Bog,Hypolimnion,1
IHWP,TB4Oct08H,2008-10-04,Trout Bog,Hypolimnion,1
IHPN,TB23Oct08H,2008-10-23,Trout Bog,Hypolimnion,1
IHWT,TB29May09H,2009-05-29,Trout Bog,Hypolimnion,1
IHTZ,TB03June09H,2009-06-03,Trout Bog,Hypolimnion,1
IHXY,TB15June09H,2009-06-15,Trout Bog,Hypolimnion,1
IHUN,TB23June09H,2009-06-23,Trout Bog,Hypolimnion,1
IHUO,TB29June09H,2009-06-29,Trout Bog,Hypolimnion,1
IHUP,TB7July09H,2009-07-07,Trout Bog,Hypolimnion,1
IHUA,TB13July09H,2009-07-13,Trout Bog,Hypolimnion,1
IHUB,TB21July09H,2009-07-21,Trout Bog,Hypolimnion,1
IHUC,TB27July09H,2009-07-27,Trout Bog,Hypolimnion,1
IHUH,TB3Aug09H,2009-08-03,Trout Bog,Hypolimnion,1
IHUI,TB11Aug09H,2009-08-11,Trout Bog,Hypolimnion,1
IHUF,TB18Aug09H,2009-08-18,Trout Bog,Hypolimnion,1
H0586,TBH01JUN05,2005-06-01,Trout Bog,Hypolimnion,2
H0586.1,TBH01JUN05,2005-06-01,Trout Bog,Hypolimnion,2
H0587,TBH22JUN05,2005-06-22,Trout Bog,Hypolimnion,2
H0587.1,TBH22JUN05,2005-06-22,Trout Bog,Hypolimnion,2
H0588,TBH29JUN05,2005-06-29,Trout Bog,Hypolimnion,2
H0588.1,TBH29JUN05,2005-06-29,Trout Bog,Hypolimnion,2
H0589,TBH13JUL05,2005-07-13,Trout Bog,Hypolimnion,2
H0589.1,TBH13JUL05,2005-07-13,Trout Bog,Hypolimnion,2
H0590,TBH27JUL05,2005-07-27,Trout Bog,Hypolimnion,2
H0590.1,TBH27JUL05,2005-07-27,Trout Bog,Hypolimnion,2
H0591,TBH11AUG05,2005-08-11,Trout Bog,Hypolimnion,2
H0591.1,TBH11AUG05,2005-08-11,Trout Bog,Hypolimnion,2
H0592,TBH01JUN10,2010-06-01,Trout Bog,Hypolimnion,2
H0592.1,TBH01JUN10,2010-06-01,Trout Bog,Hypolimnion,2
H0593,TBH15JUN10,2010-06-15,Trout Bog,Hypolimnion,2
H0593.1,TBH15JUN10,2010-06-15,Trout Bog,Hypolimnion,2
H0594,TBH29JUN10,2010-06-29,Trout Bog,Hypolimnion,2
H0594.1,TBH29JUN10,2010-06-29,Trout Bog,Hypolimnion,2
H0595,TBH12JUL10,2010-07-12,Trout Bog,Hypolimnion,2
H0595.1,TBH12JUL10,2010-07-12,Trout Bog,Hypolimnion,2
H0596,TBH27JULL10,2010-07-27,Trout Bog,Hypolimnion,2
H0596.1,TBH27JULL10,2010-07-27,Trout Bog,Hypolimnion,2
H0597,TBH10AUG10,2010-08-10,Trout Bog,Hypolimnion,2
H0597.1,TBH10AUG10,2010-08-10,Trout Bog,Hypolimnion,2
H0598,TBH07JUN12,2012-06-07,Trout Bog,Hypolimnion,2
H0598.1,TBH07JUN12,2012-06-07,Trout Bog,Hypolimnion,2
H0599,TBH21JUN12,2012-06-21,Trout Bog,Hypolimnion,2
H0599.1,TBH21JUN12,2012-06-21,Trout Bog,Hypolimnion,2
H0600,TBH05JUL12,2012-07-05,Trout Bog,Hypolimnion,2
H0600.1,TBH05JUL12,2012-07-05,Trout Bog,Hypolimnion,2
H0601,TBH12JUL12,2012-07-12,Trout Bog,Hypolimnion,2
H0601.1,TBH12JUL12,2012-07-12,Trout Bog,Hypolimnion,2
H0602,TBH26JUL12,2012-07-26,Trout Bog,Hypolimnion,2
H0602.1,TBH26JUL12,2012-07-26,Trout Bog,Hypolimnion,2
H0603,TBH14JUN12,2012-06-14,Trout Bog,Hypolimnion,2
H0603.1,TBH14JUN12,2012-06-14,Trout Bog,Hypolimnion,2
H0604,TBH8JUN13,2013-06-08,Trout Bog,Hypolimnion,2
H0604.1,TBH8JUN13,2013-06-08,Trout Bog,Hypolimnion,2
H0605,TBH20JUN13,2013-06-20,Trout Bog,Hypolimnion,2
H0605.1,TBH20JUN13,2013-06-20,Trout Bog,Hypolimnion,2
H0606,TBH27JUN13,2013-06-27,Trout Bog,Hypolimnion,2
H0606.1,TBH27JUN13,2013-06-27,Trout Bog,Hypolimnion,2
H0607,TBH11JUL13,2013-07-11,Trout Bog,Hypolimnion,2
H0607.1,TBH11JUL13,2013-07-11,Trout Bog,Hypolimnion,2
H0608,TBH18JUL13,2013-07-18,Trout Bog,Hypolimnion,2
H0608.1,TBH18JUL13,2013-07-18,Trout Bog,Hypolimnion,2
H0609,TBH08AUG13,2013-08-08,Trout Bog,Hypolimnion,2
H0609.1,TBH08AUG13,2013-08-08,Trout Bog,Hypolimnion,2
